1, AFGANISTAN-TAYIKISTAN FRONT. REGION 
2, AL SUR DE LAS ISLAS FIJI 
3, AL SUR DE LAS ISLAS KERMADAC 
4, AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY) 
5, ALASKA CENTRAL 
6, ALASKA PENINSULA 
7, BAFFIN REGION DE LA ISLA CANADA 
8, CANAL DE LA MONA 
9, CENTRAL DE ITALIA 
10, CERCA DE COSTA DE GUATEMALA 
11, CERCA DE COSTA DE NICARAGUA 
12, CERCA DE LA COSTA DE OREGON 
13, CERCA LA COSTA CENTRAL DE CHILE 
14, CERCA LA COSTA DE PERU
15, CERCA LA COSTA E. DE HONSHU JAPON 
16, CERCA LA COSTA ESTE DE KAMCHATKA 
17, CHILE-BOLIVIA FRONTERA REGION
18, CHIPRE REGION 
19, CRETA GRECIA 
20, E. RUSIA-NE CHINA FRONTERA REGION 
21, ECUADOR 
22, EL NORTE DE XINJIANG CHINA 
23, EL OESTE DE TEXAS 
24, EL SUR DE IRAN 
25, EL SURESTE DE AFGANISTAN 
26, EN EL NORTE DE CHILE 
27, EN EL NORTE DE INDIA 
28, ESTE DEL LAGO BAIKAL RUSIA 
29, ESTE MAR DE JAPON 
30, ESTRECHO DE GIBRALTAR 
31, ESTRECHO DE SUNDA INDONESIA 
32, FLORES DEL MAR 
33, HALMAHERA INDONESIA 
34, HOKKAIDO JAPAN REGION 
35, ISLA DE ANDREANOF ISLAS ALEUTIANAS 
36, ISLA NORTE NUEVA ZELANDA 
37, ISLAS FIJI REGION 
38, ISLAS KERMADAC NUEVA ZELANDA 
39, ISLAS KURILES 
40, ISLAS SALOMON 
41, ISLAS SANTA CRUZ 
42, ISLAS SUR DE SANDWICH REGION 
43, ISLAS VANUATU 
44, JAVA INDONESIA 
45, JONICO 
46, KAZAJSTˇN ORIENTAL 
47, LUZON FILIPINAS 
48, MAR BANDA 
49, MAR BEAUFORT 
50, N DE LAS ISLAS ARU REGION INDONESIA 
51, NOROESTE DE LAS ISLAS KURILES 
52, NORTE DE ARGELIA 
53, NORTE DE MAR DE LAS MOLUCAS 
54, NUEVA GUINEA PAPUA NUEVA GUINEA 
55, OAXACA MêXICO 
56, OESTE CHILE RISE 
57, PAKISTAN 
58, PANAMA-COSTA RICA REGION FRONTERA 
59, REGION DE LAS ISLAS KERMADAC 
60, REGION DE LAS ISLAS SAMOA 
61, REGION DE TAIWAN 
62, REGION NUEVA IRLANDA PNG 
63, SICHUAN CHINA 
64, SOUTHWEST OF SUMATRA INDONESIA 
65, SUR DE ALASKA 
66, SUR DE PANAMA
67, SUR DE XINJIANG CHINA 
68, SUROESTE DE AFRICA 
69, TAIWAN 
70, TAYIKISTAN-XINJIANG REGION FRONTERA 
71, TIMOR REGION 
72, VOLCAN ISLAS JAPON REGION 
73, YUNNAN CHINA 
