Fecha,Latitud,Longitud,Magnitud,Profundidad
 16-NOV-2022 14:23:30 , -20.68 , -177.65 , 4.5 , 467 
 16-NOV-2022 10:53:27 , 6.10 , -82.50 , 4.4 , 10 
 16-NOV-2022 06:01:32 , -4.75 , 100.77 , 5.5 , 9 
 16-NOV-2022 01:09:34 , 23.07 , 121.20 , 4.1 , 15 
 15-NOV-2022 23:43:14 , 22.01 , 142.70 , 4.2 , 314 
 15-NOV-2022 21:17:40 , -59.77 , -26.13 , 5.2 , 65 
 15-NOV-2022 21:14:12 , -42.81 , 124.58 , 5.0 , 10 
 15-NOV-2022 20:52:00 , 6.21 , 126.60 , 4.5 , 109 
 15-NOV-2022 20:46:31 , -53.70 , 140.55 , 4.9 , 10 
 15-NOV-2022 19:28:31 , 53.82 , 157.60 , 4.3 , 226 
 15-NOV-2022 17:26:21 , -30.64 , -71.35 , 4.8 , 50 
 15-NOV-2022 17:22:08 , -6.98 , 105.43 , 4.9 , 40 
 15-NOV-2022 17:21:11 , -7.06 , 105.31 , 4.6 , 57 
 15-NOV-2022 17:05:58 , -7.33 , 128.25 , 4.3 , 154 
 15-NOV-2022 16:13:01 , 12.98 , -88.88 , 4.5 , 60 
 15-NOV-2022 15:02:34 , 27.72 , 55.99 , 4.6 , 10 
 15-NOV-2022 14:47:34 , -31.65 , -69.70 , 4.2 , 125 
 15-NOV-2022 12:24:20 , -53.68 , 140.93 , 4.9 , 10 
 15-NOV-2022 11:53:19 , 22.35 , 121.08 , 4.9 , 10 
 15-NOV-2022 11:02:36 , 0.02 , 124.32 , 4.7 , 73 
 15-NOV-2022 09:47:28 , 5.72 , 126.12 , 4.4 , 106 
 15-NOV-2022 08:24:37 , 14.07 , 119.42 , 4.9 , 19 
 15-NOV-2022 08:03:33 , 12.17 , 141.91 , 4.8 , 65 
 15-NOV-2022 07:03:18 , -6.17 , 129.00 , 5.0 , 247 
 15-NOV-2022 06:21:01 , 54.49 , 164.33 , 4.6 , 10 
 15-NOV-2022 04:37:36 , -14.76 , -76.47 , 4.7 , 10 
 15-NOV-2022 03:43:55 , 22.61 , 121.18 , 4.6 , 27 
 15-NOV-2022 02:43:23 , -33.18 , -71.98 , 4.3 , 21 
 15-NOV-2022 01:42:46 , 19.16 , -95.88 , 4.3 , 10 
 15-NOV-2022 00:24:02 , 51.01 , 99.94 , 4.3 , 10 
 14-NOV-2022 22:43:04 , -24.25 , -66.84 , 4.3 , 179 
 14-NOV-2022 22:15:52 , -24.99 , 179.75 , 4.3 , 496 
 14-NOV-2022 21:02:32 , -22.56 , -175.07 , 4.6 , 27 
 14-NOV-2022 16:15:30 , 52.18 , -178.56 , 4.2 , 158 
 14-NOV-2022 15:24:58 , -19.05 , -171.89 , 4.8 , 10 
 14-NOV-2022 15:19:57 , -19.67 , -177.73 , 4.7 , 570 
 14-NOV-2022 15:01:52 , -64.03 , -167.75 , 5.5 , 10 
 14-NOV-2022 14:11:34 , -16.73 , -174.49 , 4.4 , 210 
 14-NOV-2022 13:27:58 , 37.42 , 137.24 , 4.6 , 12 
 14-NOV-2022 12:39:24 , -25.94 , 178.60 , 4.9 , 652 
 14-NOV-2022 08:08:26 , 33.80 , 137.25 , 6.1 , 357 
 14-NOV-2022 07:41:30 , 36.47 , 71.00 , 4.2 , 152 
 14-NOV-2022 05:04:11 , -26.04 , 178.23 , 6.1 , 627 
 14-NOV-2022 04:39:02 , 27.23 , 140.29 , 4.2 , 498 
 14-NOV-2022 04:37:54 , -25.92 , 178.43 , 4.6 , 631 
 14-NOV-2022 04:29:12 , 33.10 , 92.07 , 4.1 , 10 
 14-NOV-2022 04:20:45 , 56.33 , -34.72 , 4.9 , 10 
 14-NOV-2022 03:52:55 , -5.04 , 147.81 , 5.0 , 10 
 14-NOV-2022 03:36:55 , 53.91 , -35.20 , 4.4 , 10 
 14-NOV-2022 01:11:20 , 53.97 , -35.50 , 5.1 , 10 
 13-NOV-2022 22:56:04 , 12.14 , 46.58 , 4.4 , 10 
 13-NOV-2022 22:28:41 , 21.49 , 143.11 , 5.0 , 324 
 13-NOV-2022 22:12:16 , 31.63 , 72.98 , 4.4 , 10 
 13-NOV-2022 22:05:40 , -32.12 , -72.04 , 4.2 , 19 
 13-NOV-2022 21:35:28 , -20.07 , -178.10 , 4.6 , 575 
 13-NOV-2022 20:54:59 , -32.12 , -72.13 , 4.4 , 10 
 13-NOV-2022 16:37:39 , -8.27 , 158.84 , 4.7 , 102 
 13-NOV-2022 15:44:45 , 33.63 , 82.03 , 4.1 , 10 
 13-NOV-2022 15:25:59 , -37.50 , -73.86 , 4.3 , 25 
 13-NOV-2022 15:10:22 , -8.95 , 108.83 , 5.2 , 43 
 13-NOV-2022 14:09:09 , 22.60 , 121.28 , 4.0 , 19 
 13-NOV-2022 13:55:27 , 11.70 , -87.43 , 4.5 , 33 
 13-NOV-2022 13:45:30 , 2.49 , 124.02 , 4.2 , 356 
 13-NOV-2022 12:13:20 , 7.31 , -71.82 , 4.6 , 10 
 13-NOV-2022 10:56:51 , 2.61 , -84.47 , 4.2 , 10 
 13-NOV-2022 09:20:48 , 50.99 , -179.12 , 4.2 , 35 
 13-NOV-2022 09:12:45 , 14.24 , -92.86 , 4.3 , 59 
 13-NOV-2022 08:49:29 , -17.44 , -178.66 , 4.6 , 551 
 13-NOV-2022 08:16:48 , 44.04 , 148.27 , 5.1 , 38 
 13-NOV-2022 03:55:37 , -15.89 , -172.74 , 5.0 , 10 
 13-NOV-2022 03:47:57 , -6.42 , 147.85 , 4.1 , 59 
 13-NOV-2022 03:00:43 , -37.44 , -73.76 , 5.0 , 18 
 13-NOV-2022 02:24:57 , -37.46 , -73.74 , 6.2 , 18 
 13-NOV-2022 02:24:02 , -37.55 , -73.77 , 5.7 , 30 
 13-NOV-2022 02:08:07 , 34.34 , 26.49 , 4.8 , 10 
 13-NOV-2022 01:47:44 , 22.40 , 121.16 , 5.1 , 5 
 12-NOV-2022 23:37:00 , -23.42 , -66.85 , 4.1 , 245 
 12-NOV-2022 22:48:02 , 30.24 , 57.61 , 4.2 , 10 
 12-NOV-2022 22:21:40 , -36.96 , 179.00 , 4.7 , 23 
 12-NOV-2022 21:32:45 , -22.64 , -66.22 , 4.0 , 262 
 12-NOV-2022 21:08:40 , 2.28 , 129.25 , 4.4 , 10 
 12-NOV-2022 20:26:55 , 6.72 , -82.70 , 4.3 , 10 
 12-NOV-2022 15:11:47 , 28.59 , 141.17 , 4.7 , 55 
 12-NOV-2022 14:41:18 , -18.58 , -172.34 , 5.0 , 26 
 12-NOV-2022 14:27:05 , 29.33 , 81.17 , 5.2 , 10 
 12-NOV-2022 14:09:21 , -18.39 , -172.35 , 4.9 , 27 
 12-NOV-2022 13:32:13 , 36.30 , 3.06 , 4.9 , 10 
 12-NOV-2022 13:18:45 , -8.18 , 107.38 , 5.2 , 45 
 12-NOV-2022 12:29:33 , -8.05 , 107.24 , 4.8 , 49 
 12-NOV-2022 11:50:50 , -19.01 , -172.45 , 4.9 , 22 
 12-NOV-2022 11:01:42 , 1.28 , 123.14 , 4.9 , 41 
 12-NOV-2022 10:52:59 , -20.08 , -178.17 , 4.6 , 580 
 12-NOV-2022 10:47:59 , 2.22 , 129.27 , 5.0 , 10 
 12-NOV-2022 10:36:56 , -20.07 , -178.21 , 4.4 , 570 
 12-NOV-2022 07:29:33 , -20.06 , -178.43 , 5.1 , 577 
 12-NOV-2022 07:09:14 , -20.12 , -178.36 , 7.0 , 587 
 12-NOV-2022 07:08:11 , 36.53 , 71.21 , 4.6 , 83 
 12-NOV-2022 04:39:47 , 14.12 , -90.79 , 5.8 , 100 
 12-NOV-2022 02:48:05 , -21.92 , -68.74 , 4.2 , 128 
 12-NOV-2022 01:20:57 , 21.82 , 121.25 , 4.3 , 10 
